EVENT,REQUEST,RESPONSE
PromoteReadReplica,NAME: requestParameters.dBInstanceIdentifier,"NAME: responseElements.dBInstanceIdentifier
ARN: responseElements.dBInstanceArn"
PromoteReadReplicaDBCluster,NAME: requestParameters.dBClusterIdentifier,"NAME: responseElements.dBClusterIdentifier
ARN: responseElements.dBClusterArn"
PurchaseReservedDBInstancesOffering,ID: requestParameters.reservedDBInstanceId,"ID: responseElements.reservedDBInstanceId
ARN: responseElements.reservedDBInstanceArn"
RebootDBCluster,NAME: requestParameters.dBClusterIdentifier,"NAME: responseElements.dBClusterIdentifier
ARN: responseElements.dBClusterArn"
RebootDBInstance,NAME: requestParameters.dBInstanceIdentifier,"NAME: responseElements.dBInstanceIdentifier
ARN: responseElements.dBInstanceArn"
RebootDBShardGroup,,
RegisterDBProxyTargets,NAME: requestParameters.dBProxyName,ID: responseElements.dBProxyTargets[*].rdsResourceId
RemoveFromGlobalCluster,"NAME: requestParameters.dBClusterIdentifier
NAME: requestParameters.globalClusterIdentifier","NAME: responseElements.globalClusterName
ARN: responseElements.globalClusterArn"
RemoveRoleFromDBCluster,NAME: requestParameters.dBClusterIdentifier,
RemoveRoleFromDBInstance,NAME: requestParameters.dBInstanceIdentifier,
RemoveSourceIdentifierFromSubscription,"NAME: requestParameters.subscriptionName
NAME: requestParameters.sourceIdentifier",ARN: responseElements.eventSubscriptionArn
RemoveTagsFromResource,NAME: requestParameters.resourceName,
ResetDBClusterParameterGroup,NAME: requestParameters.dBClusterParameterGroupName,NAME: responseElements.dBClusterParameterGroupName
ResetDBParameterGroup,NAME: requestParameters.dBParameterGroupName,NAME: responseElements.dBParameterGroupName
RestoreDBClusterFromS3,NAME: requestParameters.dBClusterIdentifier,"NAME: responseElements.dBClusterIdentifier
ARN: responseElements.dBClusterArn"
RestoreDBClusterFromSnapshot,"NAME: requestParameters.dBClusterIdentifier
NAME: requestParameters.dBSnapshotIdentifier","NAME: responseElements.dBClusterIdentifier
ARN: responseElements.dBClusterArn"
RestoreDBClusterToPointInTime,NAME: requestParameters.dBClusterIdentifier,"NAME: responseElements.dBClusterIdentifier
ARN: responseElements.dBClusterArn"
RestoreDBInstanceFromDBSnapshot,"NAME: requestParameters.dBInstanceIdentifier
NAME: requestParameters.dBSnapshotIdentifier","NAME: responseElements.dBInstanceIdentifier
ARN: responseElements.dBInstanceArn"
RestoreDBInstanceFromS3,NAME: requestParameters.dBInstanceIdentifier,"NAME: responseElements.dBInstanceIdentifier
ARN: responseElements.dBInstanceArn"
RestoreDBInstanceToPointInTime,NAME: requestParameters.targetDBInstanceIdentifier,"NAME: responseElements.dBInstanceIdentifier
ARN: responseElements.dBInstanceArn"
RevokeDBSecurityGroupIngress,NAME: requestParameters.dBSecurityGroupName,"NAME: responseElements.dbSecurityGroupName
ARN: responseElements.dbSecurityGroupArn"
StartActivityStream,ARN: requestParameters.resourceArn,
StartDBCluster,NAME: requestParameters.dBClusterIdentifier,"NAME: responseElements.dBClusterIdentifier
ARN: responseElements.dBClusterArn"
StartDBInstance,NAME: requestParameters.dBInstanceIdentifier,"NAME: responseElements.dBInstanceIdentifier
ARN: responseElements.dBInstanceArn"
StartDBInstanceAutomatedBackupsReplication,ARN: requestParameters.sourceDBInstanceArn,"ARN: responseElements.dBInstanceArn
ARN: responseElements.dBInstanceAutomatedBackupsArn
NAME: responseElements.dBInstanceIdentifier"
StartExportTask,ARN: requestParameters.sourceArn,ARN: responseElements.sourceArn
StopActivityStream,ARN: requestParameters.resourceArn,
StopDBCluster,NAME: requestParameters.dBClusterIdentifier,"NAME: responseElements.dBClusterIdentifier
ARN: responseElements.dBClusterArn"
StopDBInstance,NAME: requestParameters.dBInstanceIdentifier,"NAME: responseElements.dBInstanceIdentifier
ARN: responseElements.dBInstanceArn"
StopDBInstanceAutomatedBackupsReplication,ARN: requestParameters.sourceDBInstanceArn,"ARN: responseElements.dBInstanceArn
ARN: responseElements.dBInstanceAutomatedBackupsArn
NAME: responseElements.dBInstanceIdentifier"
SwitchoverBlueGreenDeployment,NAME: requestParameters.blueGreenDeploymentName,"NAME: responseElements.blueGreenDeploymentName
ID: responseElements.blueGreenDeploymentIdentifier"
SwitchoverReadReplica,NAME: requestParameters.dBInstanceIdentifier,"NAME: responseElements.dBInstanceIdentifier
ARN: responseElements.dBInstanceArn"
