Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft DocumentDB,Mongo Cluster Private Endpoint Connection Proxies,Read Mongo Cluster Private Endpoint Connection Proxy,Microsoft.DocumentDB/mongoClusters/privateEndpointConnectionProxies/read,Reads a private endpoint connection proxy for the specified Mongo Cluster.,,False
Microsoft DocumentDB,Mongo Cluster Private Endpoint Connection Proxies,Validate Mongo Cluster Private Endpoint Connection Proxy,Microsoft.DocumentDB/mongoClusters/privateEndpointConnectionProxies/validate/action,Validates private endpoint connection proxy for the specified Mongo Cluster.,,False
Microsoft DocumentDB,Mongo Cluster Private Endpoint Connections,Create/Update Mongo Cluster Private Endpoint Connection,Microsoft.DocumentDB/mongoClusters/privateEndpointConnections/write,Create or Update a private endpoint connection on a specified Mongo Cluster.,,False
Microsoft DocumentDB,Mongo Cluster Private Endpoint Connections,Delete Mongo Cluster Private Endpoint Connection,Microsoft.DocumentDB/mongoClusters/privateEndpointConnections/delete,Deletes an existing private endpoint connection for the specified Mongo Cluster.,,False
Microsoft DocumentDB,Mongo Cluster Private Endpoint Connections,Read Mongo Cluster Private Endpoint Connection,Microsoft.DocumentDB/mongoClusters/privateEndpointConnections/read,Reads a private endpoint connection or lists all private endpoint connection for the specified Mongo Cluster.,,False
Microsoft DocumentDB,Mongo Cluster Private Link Resources,Read Private Link Resources,Microsoft.DocumentDB/mongoClusters/privateLinkResources/read,Reads a private link resource or lists all private link resource for the specified Mongo Cluster.,,False
Microsoft DocumentDB,Mongo Cluster Users,Create/Update Mongo Cluster User,Microsoft.DocumentDB/mongoClusters/users/write,Create or Update a user on a specified Mongo Cluster.,,False
Microsoft DocumentDB,Mongo Cluster Users,Delete Mongo Cluster User,Microsoft.DocumentDB/mongoClusters/users/delete,Deletes an existing user for the specified Mongo Cluster.,,False
Microsoft DocumentDB,Mongo Cluster Users,Read Mongo Cluster Users,Microsoft.DocumentDB/mongoClusters/users/read,Reads a user or lists all users for the specified Mongo Cluster.,,False
Microsoft DocumentDB,Mongo Role Definition,Microsoft.DocumentDB/databaseAccounts/mongodbRoleDefinitions/write,Microsoft.DocumentDB/databaseAccounts/mongodbRoleDefinitions/write,Create or update a Mongo Role Definition,,False
Microsoft DocumentDB,MongoDB Collection,Delete MongoDB collection,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/collections/delete,Delete a MongoDB collection.,,False
Microsoft DocumentDB,MongoDB Collection,Merge the physical partitions of a MongoDB collection,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/collections/partitionMerge/action,Merge the physical partitions of a MongoDB collection,,False
Microsoft DocumentDB,MongoDB Collection,Read MongoDB collection(s),Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/collections/read,Read a MongoDB collection or list all the MongoDB collections.,,False
Microsoft DocumentDB,MongoDB Collection,Read operation results,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/collections/operationResults/read,Read status of the asynchronous operation.,,False
Microsoft DocumentDB,MongoDB Collection,Read operation results,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/collections/partitionMerge/operationResults/read,Read status of the asynchronous operation.,,False
Microsoft DocumentDB,MongoDB Collection,Write MongoDB collection,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/collections/write,Create or update a MongoDB collection.,,False
Microsoft DocumentDB,MongoDB Collection throughput setting,Read MongoDB collection throughput,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/collections/throughputSettings/read,Read a MongoDB collection throughput.,,False
Microsoft DocumentDB,MongoDB Collection throughput setting,Read operation results,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/collections/throughputSettings/operationResults/read,Read status of the asynchronous operation.,,False
Microsoft DocumentDB,MongoDB Collection throughput setting,Write MongoDB collection throughput,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/collections/throughputSettings/write,Update a MongoDB collection throughput.,,False
Microsoft DocumentDB,MongoDB Database,Delete MongoDB database,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/delete,Delete a MongoDB database.,,False
Microsoft DocumentDB,MongoDB Database,Read MongoDB database(s),Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/read,Read a MongoDB database or list all the MongoDB databases.,,False
Microsoft DocumentDB,MongoDB Database,Read operation results,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/operationResults/read,Read status of the asynchronous operation.,,False
Microsoft DocumentDB,MongoDB Database,Write MongoDB database,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/write,Create a MongoDB database.,,False
Microsoft DocumentDB,MongoDB Database throughput setting,Migrate MongoDB database offer to autoscale,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/throughputSettings/migrateToAutoscale/action,Migrate MongoDB database offer to autoscale.,,False
Microsoft DocumentDB,MongoDB Database throughput setting,Migrate MongoDB database offer to to manual throughput,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/throughputSettings/migrateToManualThroughput/action,Migrate MongoDB database offer to to manual throughput.,,False
Microsoft DocumentDB,MongoDB Database throughput setting,Read MongoDB database throughput,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/throughputSettings/read,Read a MongoDB database throughput.,,False
Microsoft DocumentDB,MongoDB Database throughput setting,Read operation results,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/throughputSettings/operationResults/read,Read status of the asynchronous operation.,,False
Microsoft DocumentDB,MongoDB Database throughput setting,Read operation results,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/throughputSettings/migrateToAutoscale/operationResults/read,Read status of the asynchronous operation.,,False
Microsoft DocumentDB,MongoDB Database throughput setting,Read operation results,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/throughputSettings/migrateToManualThroughput/operationResults/read,Read status of the asynchronous operation.,,False
Microsoft DocumentDB,MongoDB Database throughput setting,Redistribute throughput for the specified physical partitions of the MongoDB database.,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/throughputSettings/redistributeThroughput/action,Redistribute throughput for the specified physical partitions of the MongoDB database.,,False
Microsoft DocumentDB,MongoDB Database throughput setting,Retrieve throughput for the specified physical partitions of the MongoDB database.,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/throughputSettings/retrieveThroughputDistribution/action,Retrieve throughput for the specified physical partitions of the MongoDB database.,,False
Microsoft DocumentDB,MongoDB Database throughput setting,Write MongoDB database throughput,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/throughputSettings/write,Update a MongoDB database throughput.,,False
Microsoft DocumentDB,MongoDB Role Definition,Microsoft.DocumentDB/databaseAccounts/mongodbRoleDefinitions/delete,Microsoft.DocumentDB/databaseAccounts/mongodbRoleDefinitions/delete,Delete a MongoDB Role Definition,,False
Microsoft DocumentDB,MongoDB Role Definition,Microsoft.DocumentDB/databaseAccounts/mongodbRoleDefinitions/read,Microsoft.DocumentDB/databaseAccounts/mongodbRoleDefinitions/read,Read a MongoDB Role Definition,,False
Microsoft DocumentDB,MongoDB User Definition,Microsoft.DocumentDB/databaseAccounts/mongodbUserDefinitions/delete,Microsoft.DocumentDB/databaseAccounts/mongodbUserDefinitions/delete,Delete a MongoDB User Definition,,False
Microsoft DocumentDB,MongoDB User Definition,Microsoft.DocumentDB/databaseAccounts/mongodbUserDefinitions/read,Microsoft.DocumentDB/databaseAccounts/mongodbUserDefinitions/read,Read a MongoDB User Definition,,False
Microsoft DocumentDB,MongoDB User Definition,Microsoft.DocumentDB/databaseAccounts/mongodbUserDefinitions/write,Microsoft.DocumentDB/databaseAccounts/mongodbUserDefinitions/write,Create or update a MongoDB User Definition,,False
Microsoft DocumentDB,MongoDB collection throughput setting,Migrate MongoDB collection offer to autoscale,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/collections/throughputSettings/migrateToAutoscale/action,Migrate MongoDB collection offer to autoscale.,,False
Microsoft DocumentDB,MongoDB collection throughput setting,Migrate MongoDB collection offer to to manual throughput,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/collections/throughputSettings/migrateToManualThroughput/action,Migrate MongoDB collection offer to to manual throughput.,,False
Microsoft DocumentDB,MongoDB collection throughput setting,Read operation results,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/collections/throughputSettings/migrateToAutoscale/operationResults/read,Read status of the asynchronous operation.,,False
Microsoft DocumentDB,MongoDB collection throughput setting,Read operation results,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/collections/throughputSettings/migrateToManualThroughput/operationResults/read,Read status of the asynchronous operation.,,False
Microsoft DocumentDB,MongoDB collection throughput setting,Redistribute throughput for the specified physical partitions of the MongoDB collection.,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/collections/throughputSettings/redistributeThroughput/action,Redistribute throughput for the specified physical partitions of the MongoDB collection.,,False
Microsoft DocumentDB,MongoDB collection throughput setting,Retrieve throughput for the specified physical partitions of the MongoDB collection.,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/collections/throughputSettings/retrieveThroughputDistribution/action,Retrieve throughput for the specified physical partitions of the MongoDB collection.,,False
Microsoft DocumentDB,Notebook Workspace,Microsoft.DocumentDB/databaseAccounts/notebookWorkspaces/delete,Microsoft.DocumentDB/databaseAccounts/notebookWorkspaces/delete,Delete a notebook workspace,,False
Microsoft DocumentDB,Notebook Workspace,Microsoft.DocumentDB/databaseAccounts/notebookWorkspaces/listConnectionInfo/action,Microsoft.DocumentDB/databaseAccounts/notebookWorkspaces/listConnectionInfo/action,List the connection info for a notebook workspace,,False
Microsoft DocumentDB,Notebook Workspace,Microsoft.DocumentDB/databaseAccounts/notebookWorkspaces/read,Microsoft.DocumentDB/databaseAccounts/notebookWorkspaces/read,Read a notebook workspace,,False
Microsoft DocumentDB,Notebook Workspace,Microsoft.DocumentDB/databaseAccounts/notebookWorkspaces/write,Microsoft.DocumentDB/databaseAccounts/notebookWorkspaces/write,Create or update a notebook workspace,,False
