Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Web Apps,Web Apps Continuous Web Jobs,Start Web Apps Continuous Web Jobs,microsoft.web/sites/continuouswebjobs/start/action,Start Web Apps Continuous Web Jobs.,"user,system",False
Microsoft Web Apps,Web Apps Continuous Web Jobs,Stop Web Apps Continuous Web Jobs,microsoft.web/sites/continuouswebjobs/stop/action,Stop Web Apps Continuous Web Jobs.,"user,system",False
Microsoft Web Apps,Web Apps Deployments,Delete Web Apps Deployments,microsoft.web/sites/deployments/delete,Delete Web Apps Deployments.,"user,system",False
Microsoft Web Apps,Web Apps Deployments,Get Web Apps Deployments,microsoft.web/sites/deployments/read,Get Web Apps Deployments.,"user,system",False
Microsoft Web Apps,Web Apps Deployments,Update Web Apps Deployments,microsoft.web/sites/deployments/write,Update Web Apps Deployments.,"user,system",False
Microsoft Web Apps,Web Apps Deployments Log,Get Web Apps Deployments Log,microsoft.web/sites/deployments/log/read,Get Web Apps Deployments Log.,"user,system",False
Microsoft Web Apps,Web Apps Detectors,Get Web Apps Detectors,microsoft.web/sites/detectors/read,Get Web Apps Detectors.,"user,system",False
Microsoft Web Apps,Web Apps Diagnostics ASP.NET Core,Get Web Apps Diagnostics ASP.NET Core,microsoft.web/sites/diagnostics/aspnetcore/read,Get Web Apps Diagnostics for ASP.NET Core app.,"user,system",False
Microsoft Web Apps,Web Apps Diagnostics Analysis,Get Web Apps Diagnostics Analysis,microsoft.web/sites/diagnostics/analyses/read,Get Web Apps Diagnostics Analysis.,"user,system",False
Microsoft Web Apps,Web Apps Diagnostics Analysis,Run Web Apps Diagnostics Analysis,microsoft.web/sites/diagnostics/analyses/execute/Action,Run Web Apps Diagnostics Analysis.,"user,system",False
Microsoft Web Apps,Web Apps Diagnostics Autoheal,Get Web Apps Diagnostics Autoheal,microsoft.web/sites/diagnostics/autoheal/read,Get Web Apps Diagnostics Autoheal.,"user,system",False
Microsoft Web Apps,Web Apps Diagnostics Category,Get Web Apps Diagnostics Category,microsoft.web/sites/diagnostics/read,Get Web Apps Diagnostics Categories.,"user,system",False
Microsoft Web Apps,Web Apps Diagnostics Deployment,Get Web Apps Diagnostics Deployment,microsoft.web/sites/diagnostics/deployment/read,Get Web Apps Diagnostics Deployment.,"user,system",False
Microsoft Web Apps,Web Apps Diagnostics Deployments,Get Web Apps Diagnostics Deployments,microsoft.web/sites/diagnostics/deployments/read,Get Web Apps Diagnostics Deployments.,"user,system",False
Microsoft Web Apps,Web Apps Diagnostics Detector,Get Web Apps Diagnostics Detector,microsoft.web/sites/diagnostics/detectors/read,Get Web Apps Diagnostics Detector.,"user,system",False
Microsoft Web Apps,Web Apps Diagnostics Detector,Run Web Apps Diagnostics Detector,microsoft.web/sites/diagnostics/detectors/execute/Action,Run Web Apps Diagnostics Detector.,"user,system",False
Microsoft Web Apps,Web Apps Diagnostics FREB Analysis,Get Web Apps Diagnostics FREB Analysis,microsoft.web/sites/diagnostics/frebanalysis/read,Get Web Apps Diagnostics FREB Analysis.,"user,system",False
Microsoft Web Apps,Web Apps Diagnostics Failed Requests Per Uri,Get Web Apps Diagnostics Failed Requests Per Uri,microsoft.web/sites/diagnostics/failedrequestsperuri/read,Get Web Apps Diagnostics Failed Requests Per Uri.,"user,system",False
Microsoft Web Apps,Web Apps Diagnostics Log Analyzer,Get Web Apps Diagnostics Log Analyzer,microsoft.web/sites/diagnostics/loganalyzer/read,Get Web Apps Diagnostics Log Analyzer.,"user,system",False
Microsoft Web Apps,Web Apps Diagnostics Runtime Availability,Get Web Apps Diagnostics Runtime Availability,microsoft.web/sites/diagnostics/runtimeavailability/read,Get Web Apps Diagnostics Runtime Availability.,"user,system",False
Microsoft Web Apps,Web Apps Diagnostics Service Health,Get Web Apps Diagnostics Service Health,microsoft.web/sites/diagnostics/servicehealth/read,Get Web Apps Diagnostics Service Health.,"user,system",False
Microsoft Web Apps,Web Apps Diagnostics Site CPU Analysis,Get Web Apps Diagnostics Site CPU Analysis,microsoft.web/sites/diagnostics/sitecpuanalysis/read,Get Web Apps Diagnostics Site CPU Analysis.,"user,system",False
Microsoft Web Apps,Web Apps Diagnostics Site Crashes,Get Web Apps Diagnostics Site Crashes,microsoft.web/sites/diagnostics/sitecrashes/read,Get Web Apps Diagnostics Site Crashes.,"user,system",False
Microsoft Web Apps,Web Apps Diagnostics Site Latency,Get Web Apps Diagnostics Site Latency,microsoft.web/sites/diagnostics/sitelatency/read,Get Web Apps Diagnostics Site Latency.,"user,system",False
Microsoft Web Apps,Web Apps Diagnostics Site Memory Analysis,Get Web Apps Diagnostics Site Memory Analysis,microsoft.web/sites/diagnostics/sitememoryanalysis/read,Get Web Apps Diagnostics Site Memory Analysis.,"user,system",False
Microsoft Web Apps,Web Apps Diagnostics Site Restart Setting Update,Get Web Apps Diagnostics Site Restart Setting Update,microsoft.web/sites/diagnostics/siterestartsettingupdate/read,Get Web Apps Diagnostics Site Restart Setting Update.,"user,system",False
