Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Compute,Virtual Machine in Scale Set,Perform planned maintenance on a Virtual Machine instance in a Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/virtualMachines/performMaintenance/action,Performs planned maintenance on a Virtual Machine instance in a Virtual Machine Scale Set,"user,system",FALSE
Microsoft Compute,Virtual Machine in Scale Set,Power off Virtual Machine in a Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/virtualMachines/powerOff/action,Powers Off a Virtual Machine instance in a VM Scale Set.,"user,system",FALSE
Microsoft Compute,Virtual Machine in Scale Set,Redeploy Virtual Machine instance in a Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/virtualMachines/redeploy/action,Redeploys a Virtual Machine instance in a Virtual Machine Scale Set,"user,system",FALSE
Microsoft Compute,Virtual Machine in Scale Set,Reimage Virtual Machine in a Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/virtualMachines/reimage/action,Reimages a Virtual Machine instance in a Virtual Machine Scale Set.,"user,system",FALSE
Microsoft Compute,Virtual Machine in Scale Set,Reimage all Disks for a Virtual Machine instance in a Virtual Machine Scale Set.,Microsoft.Compute/virtualMachineScaleSets/virtualMachines/reimageAll/action,Reimages all disks (OS Disk and Data Disks) for Virtual Machine instance in a Virtual Machine Scale Set.,"user,system",FALSE
Microsoft Compute,Virtual Machine in Scale Set,Restart Virtual Machine instance in a Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/virtualMachines/restart/action,Restarts a Virtual Machine instance in a VM Scale Set.,"user,system",FALSE
Microsoft Compute,Virtual Machine in Scale Set,Retrieve boot diagnostic logs blob URIs of Virtual Machine instance in a Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/virtualMachines/retrieveBootDiagnosticsData/action,Retrieves boot diagnostic logs blob URIs of Virtual Machine instance in a Virtual Machine Scale Set,"user,system",FALSE
Microsoft Compute,Virtual Machine in Scale Set,Run Command on a Virtual Machine instance in a Virtual Machine Scale Set.,Microsoft.Compute/virtualMachineScaleSets/virtualMachines/runCommand/action,Executes a predefined script on a Virtual Machine instance in a Virtual Machine Scale Set.,"user,system",FALSE
Microsoft Compute,Virtual Machine in Scale Set,Simulate Eviction of spot Virtual Machine in Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/virtualMachines/simulateEviction/action,Simulates the eviction of spot Virtual Machine in Virtual Machine Scale Set,"user,system",FALSE
Microsoft Compute,Virtual Machine in Scale Set,Start Virtual Machine in a Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/virtualMachines/start/action,Starts a Virtual Machine instance in a VM Scale Set.,"user,system",FALSE
Microsoft Compute,Virtual Machine in Scale Set,Updates the properties of a Virtual Machine in a Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/virtualMachines/write,Updates the properties of a Virtual Machine in a VM Scale Set,"user,system",FALSE
Microsoft Compute,Virtual Machine in Scale Set Metric Definitions,Get Virtual Machine in Scale Set Metric Definitions,Microsoft.Compute/virtualMachineScaleSets/virtualMachines/providers/Microsoft.Insights/metricDefinitions/read,Reads Virtual Machine in Scale Set Metric Definitions,system,FALSE
Microsoft Compute,Virtual Machines,Assess virtual machine for available OS update patches,Microsoft.Compute/virtualMachines/assessPatches/action,Assesses the virtual machine and finds list of available OS update patches for it.,"user,system",FALSE
Microsoft Compute,Virtual Machines,Attach Detach data disks to a Virtual Machine,Microsoft.Compute/virtualMachines/attachDetachDataDisks/action,Attaches Detaches existing data disks to a virtual machine,"user,system",FALSE
Microsoft Compute,Virtual Machines,Cancel install OS update patch operation on virtual machine,Microsoft.Compute/virtualMachines/cancelPatchInstallation/action,Cancels the ongoing install OS update patch operation on the virtual machine.,"user,system",FALSE
Microsoft Compute,Virtual Machines,Capture Virtual Machine,Microsoft.Compute/virtualMachines/capture/action,Captures the virtual machine by copying virtual hard disks and generates a template that can be used to create similar virtual machines,"user,system",FALSE
Microsoft Compute,Virtual Machines,Convert Virtual Machine disks to Managed Disks,Microsoft.Compute/virtualMachines/convertToManagedDisks/action,Converts the blob based disks of the virtual machine to managed disks,"user,system",FALSE
Microsoft Compute,Virtual Machines,Create or Update Virtual Machine,Microsoft.Compute/virtualMachines/write,Creates a new virtual machine or updates an existing virtual machine,"user,system",FALSE
Microsoft Compute,Virtual Machines,Deallocate Virtual Machine,Microsoft.Compute/virtualMachines/deallocate/action,Powers off the virtual machine and releases the compute resources,"user,system",FALSE
Microsoft Compute,Virtual Machines,Delete Virtual Machine,Microsoft.Compute/virtualMachines/delete,Deletes the virtual machine,"user,system",FALSE
